rest_name,rest_address,cuisine_type
             Chapter One Bar | Maiin           ,"New BEL Road, Bangalore","           Continental, Italian, North Indian, Finger Food, Chinese, Mughlai         "
             High Drate           ,"Uttarahalli, Bangalore","           Finger Food, North Indian, Chinese         "
             Levitate Brewery and Kitchen           ,"JP Nagar, Bangalore","           Finger Food, North Indian, Continental         "
             Sky Garden           ,"Whitefield, Bangalore","           North Indian, Asian, Continental, Italian         "
             One For The Road           ,"Indiranagar, Bangalore","           North Indian, Fast Food, American, Continental         "
             Angrezi - Bollywood Bar &...           ,"Church Street, Bangalore","           North Indian, Chinese, Fast Food, Finger Food         "
             What the Ale?!           ,"Electronic City, Bangalore","           North Indian, Continental, Chinese         "
             The Tilt Bar Republic           ,"Indiranagar, Bangalore","           North Indian, Continental, Italian         "
             Punjabi Nawabi           ,"Jalahalli, Bangalore","           North Indian, Chinese, Biryani         "
             21st Amendment Gastrobar           ,"Indiranagar, Bangalore","           North Indian, South Indian, Chinese, Fast Food, Mughlai         "
             House of Troy           ,"Koramangala 7th Block, Bangalore","           Greek, Mediterranean         "
             Tipsy Bull- The Bar Exchange           ,"Koramangala 5th Block, Bangalore","           North Indian, Chinese, Continental, Mexican         "
             UDP Urban Deccan Pub           ,"Indiranagar, Bangalore","           Finger Food, South Indian, Pizza         "
             Somara Cafe & Co-Works           ,"JP Nagar, Bangalore","           Cafe, Tea, Beverages         "
             Cafe Rustico           ,"Brigade Road, Bangalore","           Chinese, Continental, Beverages, Fast Food         "
             Le Grapes Restobar           ,"Rajajinagar, Bangalore","           Finger Food, North Indian, Chinese, Pizza         "
             Plan B           ,"Marathahalli, Bangalore","           American, Chinese, BBQ, Steak         "
             Hakuna Matata           ,"JP Nagar, Bangalore","           North Indian, Asian, Seafood, Chinese         "
             Whattay Kitchen and Brew           ,"Kanakapura Road, Bangalore","           Finger Food, North Indian, Italian, Biryani, Desserts         "
             Heartbreaker           ,"HSR, Bangalore","           Finger Food, North Indian, Asian, Continental, Mexican         "
             Fat Owl           ,"JP Nagar, Bangalore","           Finger Food, American, Asian, Steak, North Indian, South Indian, Burger         "
             Pathaan Sir           ,"Koramangala 7th Block, Bangalore","           Rolls, Fast Food         "
             The Bangalore Street Club           ,"Lido Mall, Ulsoor, Bangalore","           South Indian, North Indian, Biryani, Street Food, Fast Food         "
             Taco Bell           ,"Elements Mall, Nagawara, Bangalore","           Fast Food, Mexican, Wraps         "
             Hotel Nalapaka           ,"Rajajinagar, Bangalore",           South Indian         
             Chef De Cuisine           ,"Kumaraswamy Layout, Bangalore","           Fast Food, North Indian         "
             Banoffee Cafe           ,"HSR, Bangalore","           Cafe, Pizza, American, Thai, Fast Food         "
             Nandini Deluxe           ,"Banaswadi, Bangalore","           Andhra, Chinese, North Indian, Seafood, Biryani         "
             Vinny's           ,"New BEL Road, Bangalore","           Pizza, Italian, Continental, Desserts         "
             Grill Daddy           ,"Koramangala 7th Block, Bangalore","           Continental, American, Pizza, Burger, Cafe, Sandwich         "
